jet,event_count,dominant_output,peak_delta,peak_abs_delta,peak_lag_steps,peak_lag_seconds,note
JET_01,0,NA,,,,,rising edge summary from available case data
JET_02,0,NA,,,,,rising edge summary from available case data
JET_03,1,Fz_Total,0.21515729017730398,0.21515729017730398,7,0.6999999999999998,rising edge summary from available case data
JET_04,0,NA,,,,,rising edge summary from available case data
JET_05,0,NA,,,,,rising edge summary from available case data
JET_06,0,NA,,,,,rising edge summary from available case data
JET_07,0,NA,,,,,rising edge summary from available case data
JET_08,0,NA,,,,,rising edge summary from available case data
JET_09,0,NA,,,,,rising edge summary from available case data
JET_10,0,NA,,,,,rising edge summary from available case data
JET_11,0,NA,,,,,rising edge summary from available case data
JET_12,0,NA,,,,,rising edge summary from available case data
JET_13,0,NA,,,,,rising edge summary from available case data
JET_14,0,NA,,,,,rising edge summary from available case data
JET_15,0,NA,,,,,rising edge summary from available case data
JET_16,0,NA,,,,,rising edge summary from available case data
JET_17,0,NA,,,,,rising edge summary from available case data
JET_18,0,NA,,,,,rising edge summary from available case data
JET_19,0,NA,,,,,rising edge summary from available case data
JET_20,0,NA,,,,,rising edge summary from available case data
JET_21,0,NA,,,,,rising edge summary from available case data
JET_22,0,NA,,,,,rising edge summary from available case data
JET_23,0,NA,,,,,rising edge summary from available case data
JET_24,0,NA,,,,,rising edge summary from available case data
