physical_time,window_id,t_start,t_end,active_jets,total_mass_flow
0.0,0,0.0,0.1,3,3.0
0.1,1,0.1,0.2,3,3.0
0.2,2,0.2,0.3,3,3.0
0.3,3,0.3,0.4,3,3.0
0.4,4,0.4,0.5,3,3.0
0.5,5,0.5,0.6,3,3.0
0.6,6,0.6,0.7,3,3.0
0.7,7,0.7,0.8,3,3.0
0.8,8,0.8,0.9,3,3.0
0.9,9,0.9,1.0,3,3.0
1.0,10,1.0,1.1,3,3.0
1.1,11,1.1,1.2,3,3.0
1.2,12,1.2,1.3,3,3.0
1.3,13,1.3,1.4,3,3.0
1.4,14,1.4,1.5,3,3.0
1.5,15,1.5,1.6,3,3.0
1.6,16,1.6,1.7,3,3.0
1.7,17,1.7,1.8,3,3.0
1.8,18,1.8,1.9,3,3.0
1.9,19,1.9,2.0,3,3.0
2.0,20,2.0,2.1,3,3.0
2.1,21,2.1,2.2,3,3.0
2.2,22,2.2,2.3,3,3.0
2.3,23,2.3,2.4,3,3.0
2.4,24,2.4,2.5,3,3.0
2.5,25,2.5,2.6,3,3.0
2.6,26,2.6,2.7,3,3.0
2.7,27,2.7,2.8,3,3.0
2.8,28,2.8,2.9,3,3.0
2.9,29,2.9,3.0,3,3.0
3.0,30,3.0,3.1,3,3.0
3.1,31,3.1,3.2,3,3.0
3.2,32,3.2,3.3,3,3.0
3.3,33,3.3,3.4,3,3.0
3.4,34,3.4,3.5,3,3.0
3.5,35,3.5,3.6,3,3.0
3.6,36,3.6,3.7,3,3.0
3.7,37,3.7,3.8,3,3.0
3.8,38,3.8,3.9,3,3.0
3.9,39,3.9,4.0,3,3.0
4.0,40,4.0,4.1,3,3.0
4.1,41,4.1,4.2,3,3.0
4.2,42,4.2,4.3,3,3.0
4.3,43,4.3,4.4,3,3.0
4.4,44,4.4,4.5,3,3.0
4.5,45,4.5,4.6,3,3.0
4.6,46,4.6,4.7,3,3.0
4.7,47,4.7,4.8,3,3.0
4.8,48,4.8,4.9,3,3.0
4.9,49,4.9,5.0,3,3.0
5.0,50,5.0,5.1,3,3.0
5.1,51,5.1,5.2,3,3.0
5.2,52,5.2,5.3,3,3.0
5.3,53,5.3,5.4,3,3.0
5.4,54,5.4,5.5,3,3.0
5.5,55,5.5,5.6,3,3.0
5.6,56,5.6,5.7,3,3.0
5.7,57,5.7,5.8,3,3.0
5.8,58,5.8,5.9,3,3.0
5.9,59,5.9,6.0,3,3.0
6.0,60,6.0,6.1,3,3.0
6.1,61,6.1,6.2,3,3.0
6.2,62,6.2,6.3,3,3.0
6.3,63,6.3,6.4,3,3.0
6.4,64,6.4,6.5,3,3.0
6.5,65,6.5,6.6,3,3.0
6.6,66,6.6,6.7,3,3.0
6.7,67,6.7,6.8,3,3.0
6.8,68,6.8,6.9,3,3.0
6.9,69,6.9,7.0,3,3.0
7.0,70,7.0,7.1,3,3.0
7.1,71,7.1,7.2,3,3.0
7.2,72,7.2,7.3,0,0.0
7.3,73,7.3,7.4,0,0.0
7.4,74,7.4,7.5,0,0.0
7.5,75,7.5,7.6,0,0.0
7.6,76,7.6,7.7,0,0.0
7.7,77,7.7,7.8,0,0.0
7.8,78,7.8,7.9,0,0.0
7.9,79,7.9,8.0,0,0.0
