jet,switch_column,cmd_massflow_column,activation_count,command_nonzero_count,max_cmd_massflow,switch_massflow_errors,status
JET_01,JET_01,cmd_massflow_01,0,0,0.0,,pass
JET_02,JET_02,cmd_massflow_02,0,0,0.0,,pass
JET_03,JET_03,cmd_massflow_03,1,1,0.02,,pass
JET_04,JET_04,cmd_massflow_04,0,0,0.0,,pass
JET_05,JET_05,cmd_massflow_05,0,0,0.0,,pass
JET_06,JET_06,cmd_massflow_06,0,0,0.0,,pass
JET_07,JET_07,cmd_massflow_07,0,0,0.0,,pass
JET_08,JET_08,cmd_massflow_08,0,0,0.0,,pass
JET_09,JET_09,cmd_massflow_09,0,0,0.0,,pass
JET_10,JET_10,cmd_massflow_10,0,0,0.0,,pass
JET_11,JET_11,cmd_massflow_11,0,0,0.0,,pass
JET_12,JET_12,cmd_massflow_12,0,0,0.0,,pass
JET_13,JET_13,cmd_massflow_13,0,0,0.0,,pass
JET_14,JET_14,cmd_massflow_14,0,0,0.0,,pass
JET_15,JET_15,cmd_massflow_15,0,0,0.0,,pass
JET_16,JET_16,cmd_massflow_16,0,0,0.0,,pass
JET_17,JET_17,cmd_massflow_17,0,0,0.0,,pass
JET_18,JET_18,cmd_massflow_18,0,0,0.0,,pass
JET_19,JET_19,cmd_massflow_19,0,0,0.0,,pass
JET_20,JET_20,cmd_massflow_20,0,0,0.0,,pass
JET_21,JET_21,cmd_massflow_21,0,0,0.0,,pass
JET_22,JET_22,cmd_massflow_22,0,0,0.0,,pass
JET_23,JET_23,cmd_massflow_23,0,0,0.0,,pass
JET_24,JET_24,cmd_massflow_24,0,0,0.0,,pass
