quantity,baseline_case,jet_case,baseline_mean,baseline_min,baseline_max,baseline_std,baseline_range,jet_mean,jet_min,jet_max,jet_std,jet_range,delta_mean,delta_min,delta_max,delta_std,threshold_abs,first_abnormal_time_s,first_abnormal_delta,note
Fz_S1L,G00_nojet_existing same-time window,G01_JET01_existing,5876.598406,-7758.407574,51483.90019,3924.062423,59242.30776,6501.968516,-9168.863407,52873.94682,4013.996691,62042.81023,625.3701107,-1973.983269,3248.011718,312.8672579,11772.18727,,,
Fz_S1R,G00_nojet_existing same-time window,G01_JET01_existing,5868.14855,-7603.61633,51501.52587,3915.445307,59105.1422,7083.151826,-8663.730705,54486.09339,4016.808628,63149.82409,1215.003275,-1319.143589,4576.688227,313.8884551,11746.33592,,,
Fz_S2L,G00_nojet_existing same-time window,G01_JET01_existing,-7749.323244,-46567.84382,31247.44989,6048.793825,77815.29371,-8088.365678,-46938.2396,31846.40718,6058.893043,78784.64678,-339.0424343,-2385.739956,1397.028617,251.1664439,18146.38148,,,
Fz_S2R,G00_nojet_existing same-time window,G01_JET01_existing,-7722.80455,-46321.37387,31264.03068,6038.101542,77585.40455,-7779.968217,-47663.70745,31433.75039,6047.858915,79097.45784,-57.16366722,-1928.4932,1247.357445,251.7274626,18114.30463,,,
Fz_S3L,G00_nojet_existing same-time window,G01_JET01_existing,-11330.82249,-53744.91625,5192.184752,4630.483267,58937.101,-11091.37854,-53714.92948,5404.416652,4677.782897,59119.34613,239.4439442,-1116.479403,1788.763666,463.032928,13891.4498,,,
Fz_S3R,G00_nojet_existing same-time window,G01_JET01_existing,-11286.51457,-53598.66127,5574.284849,4633.590407,59172.94612,-11094.8041,-53569.11748,6070.44234,4678.213286,59639.55982,191.7104672,-1003.310303,1829.941328,453.8787883,13900.77122,,,
regional_lift_sum,G00_nojet_existing same-time window,G01_JET01_existing,-26344.7179,-132149.151,53341.22288,17464.32028,185490.3739,-24469.3962,-133083.9316,59598.57538,17758.01777,192682.5069,1875.321696,-5460.674996,6257.352505,1171.195818,52392.96083,,,sum of six bottom-region reports; compare with Fz_Total cautiously because Fz includes tail
Fz_Total,G00_nojet_existing same-time window,G01_JET01_existing,52844.71694,-61903.10611,115214.7019,13058.91303,177117.808,57285.76085,-62369.87684,121381.9729,13496.76963,183751.8498,4441.043904,-3594.540857,8837.882983,1540.48166,39176.73908,,,
Drag_Total,G00_nojet_existing same-time window,G01_JET01_existing,33838.01843,22439.05689,431459.9678,14044.36317,409020.9109,33511.83799,21994.6277,431382.5438,14067.40895,409387.9161,-326.1804424,-585.6428396,17.27493117,72.37226244,42133.08952,,,
Pitch_Moment,G00_nojet_existing same-time window,G01_JET01_existing,-495426.6994,-7112054.5,1534457.764,258550.4318,8646512.264,-505018.1697,-7112455.654,1535535.268,261976.8583,8647990.922,-9591.470272,-104453.4899,71423.03219,30945.11716,775651.2953,,,
Roll_Moment,G00_nojet_existing same-time window,G01_JET01_existing,-58.73885984,-1883.787053,1591.681025,548.8309666,3475.468078,78.82355578,-2350.011466,3557.325858,593.0028256,5907.337324,137.5624156,-2332.442226,3445.802839,787.0575858,1646.4929,0.0013,1772.211245,
Jet_Reaction_Z,G00_nojet_existing same-time window,G01_JET01_existing,-330.2221855,-2970.036114,1793.715504,430.4085151,4763.751618,131.7142918,29.61657641,563.7806804,24.2184572,534.164104,461.9364773,-1474.012566,3076.778155,420.256767,1291.225545,0.0065,-1313.382163,
effective_Fz_plus_reaction,G00_nojet_existing same-time window,G01_JET01_existing,52514.49476,-64714.26087,116598.6757,13343.41152,181312.9366,57417.47514,-62263.2286,121711.4555,13500.46388,183974.6841,4902.980381,-1888.562372,9690.29132,1531.382458,40030.23456,,,candidate sum because Fz surfaces and Jet_Reaction_Z surfaces are non-overlapping in current report definitions; not strict whole-vehicle lift
cmd_massflow_01,G00_nojet_existing same-time window,G01_JET01_existing,0,0,0,0,0,2.57,2.57,2.57,0,0,2.57,2.57,2.57,0,1e-09,0.0001,2.57,commanded massflow; positive value confirmed as into computational domain
actual_massflow_01,G00_nojet_existing same-time window,G01_JET01_existing,,,,,,,,,,,,,,,1e-09,,,"missing_actual_massflow_monitor; boundary condition only, no independent STAR monitor"
