current_field,star_export_file,star_report_name,unit,coordinate_system,direction_or_axis_xyz,moment_center_m,integrated_surfaces,status,actual_meaning
Fz_S1L,FZ_image_10000.csv,S1L Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,"JET01,JET02,JET05,JET06",confirmed,车底六区之一的+Z力
Fz_S1R,FZ_image_10000.csv,S1R Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,"JET03,JET04,JET07,JET08",confirmed,车底六区之一的+Z力
Fz_S2L,FZ_image_10000.csv,S2L Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,"JET09,JET10,JET13,JET14",confirmed,车底六区之一的+Z力
Fz_S2R,FZ_image_10000.csv,S2R Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,"JET11,JET12,JET15,JET16",confirmed,车底六区之一的+Z力
Fz_S3L,FZ_image_10000.csv,S3L Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,"JET17,JET18,JET21,JET22",confirmed,车底六区之一的+Z力
Fz_S3R,FZ_image_10000.csv,S3R Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,"JET19,JET20,JET23,JET24",confirmed,车底六区之一的+Z力
fz,fz.csv,fz Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,JET01..JET24,confirmed_浩坤_pending_case_validation,车底六区合力/底面整体升力；应等于Fz_S1L+Fz_S1R+Fz_S2L+Fz_S2R+Fz_S3L+Fz_S3R，待后续算例验证
Fz_Total,Fz_Monitor_绘图_image_10000.csv,Fz Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,"JET01..JET24,tail",confirmed,带车壳的升力：底面24区加tail车壳的+Z力
Drag_Total,Drag_Monitor_绘图_image_10000.csv,Drag Monitor,N,Laboratory,"[1.0, 0.0, 0.0]",,"J01..J24,JET01..JET24",confirmed,当前Drag_Total实际积分面如左
Pitch_Moment,Pitch_Moment_Monitor_绘图_image_10000.csv,Pitch_Moment Monitor,N-m,Laboratory,"[0.0, 1.0, 0.0]","[29.0, 0.0, 1.52]",JET01..JET24,confirmed,当前俯仰力矩
Roll_Moment,Roll_Moment_Monitor_绘图_image_10000.csv,Roll_Moment Monitor,N-m,Laboratory,"[1.0, 0.0, 0.0]","[29.0, 0.0, 1.52]",JET01..JET24,confirmed,当前滚转力矩
Jet_Reaction_Z,Jet_Reaction_Z_Monitor_绘图_image_10000.csv,Jet_Reaction_Z Monitor,N,Laboratory,"[0.0, 0.0, 1.0]",,J01..J24,pending_浩坤_confirmation,当前J表面+Z力；是否为项目定义的喷气动量反作用力等待浩坤确认
star_actual_massflow_01..24,actual_massflow_image_10000.csv,actual_massflow_01..24 Monitor,kg/s,Laboratory,STAR report signed direction,,J01..J24,confirmed,STAR原始带符号实际质量流量
actual_massflow_01..24,actual_massflow_image_10000.csv,actual_massflow_01..24 Monitor,kg/s,Laboratory,into_flow_domain_positive,,J01..J24,confirmed,由同一STAR原始report乘sign_to_domain得到的算法输入值；不得用指令值代替
