case_id,field,status,category,message
G00_nojet_existing,Fz_S1L,present,present,
G00_nojet_existing,Fz_S1R,present,present,
G00_nojet_existing,Fz_S2L,present,present,
G00_nojet_existing,Fz_S2R,present,present,
G00_nojet_existing,Fz_S3L,present,present,
G00_nojet_existing,Fz_S3R,present,present,
G00_nojet_existing,Fz_Total,present,present,
G00_nojet_existing,Drag_Total,present,present,
G00_nojet_existing,Pitch_Moment,present,present,
G00_nojet_existing,Roll_Moment,present,present,
G00_nojet_existing,Jet_Reaction_Z,present,present,
G00_nojet_existing,JET_01,present,present,
G00_nojet_existing,JET_02,present,present,
G00_nojet_existing,JET_03,present,present,
G00_nojet_existing,JET_04,present,present,
G00_nojet_existing,JET_05,present,present,
G00_nojet_existing,JET_06,present,present,
G00_nojet_existing,JET_07,present,present,
G00_nojet_existing,JET_08,present,present,
G00_nojet_existing,JET_09,present,present,
G00_nojet_existing,JET_10,present,present,
G00_nojet_existing,JET_11,present,present,
G00_nojet_existing,JET_12,present,present,
G00_nojet_existing,JET_13,present,present,
G00_nojet_existing,JET_14,present,present,
G00_nojet_existing,JET_15,present,present,
G00_nojet_existing,JET_16,present,present,
G00_nojet_existing,JET_17,present,present,
G00_nojet_existing,JET_18,present,present,
G00_nojet_existing,JET_19,present,present,
G00_nojet_existing,JET_20,present,present,
G00_nojet_existing,JET_21,present,present,
G00_nojet_existing,JET_22,present,present,
G00_nojet_existing,JET_23,present,present,
G00_nojet_existing,JET_24,present,present,
G00_nojet_existing,cmd_massflow_01,present,present,
G00_nojet_existing,cmd_massflow_02,present,present,
G00_nojet_existing,cmd_massflow_03,present,present,
G00_nojet_existing,cmd_massflow_04,present,present,
G00_nojet_existing,cmd_massflow_05,present,present,
G00_nojet_existing,cmd_massflow_06,present,present,
G00_nojet_existing,cmd_massflow_07,present,present,
G00_nojet_existing,cmd_massflow_08,present,present,
G00_nojet_existing,cmd_massflow_09,present,present,
G00_nojet_existing,cmd_massflow_10,present,present,
G00_nojet_existing,cmd_massflow_11,present,present,
G00_nojet_existing,cmd_massflow_12,present,present,
G00_nojet_existing,cmd_massflow_13,present,present,
G00_nojet_existing,cmd_massflow_14,present,present,
G00_nojet_existing,cmd_massflow_15,present,present,
G00_nojet_existing,cmd_massflow_16,present,present,
G00_nojet_existing,cmd_massflow_17,present,present,
G00_nojet_existing,cmd_massflow_18,present,present,
G00_nojet_existing,cmd_massflow_19,present,present,
G00_nojet_existing,cmd_massflow_20,present,present,
G00_nojet_existing,cmd_massflow_21,present,present,
G00_nojet_existing,cmd_massflow_22,present,present,
G00_nojet_existing,cmd_massflow_23,present,present,
G00_nojet_existing,cmd_massflow_24,present,present,
G00_nojet_existing,S1 Monitor: S1 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,S2 Monitor: S2 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,S3 Monitor: S3 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,入口 Monitor: 入口 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,出口 Monitor: 出口 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,右中 Monitor: 右中 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,右前 Monitor: 右前 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,右后 Monitor: 右后 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,左中 Monitor: 左中 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,左前 Monitor: 左前 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,左后 Monitor: 左后 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/报告绘图_image_30000.csv but has no standard B03 mapping.
G00_nojet_existing,load_direction_convention,unconfirmed,direction_unconfirmed,STAR monitor values are preserved; positive aerodynamic direction is not independently confirmed.
G01_JET01_existing,Fz_S1L,present,present,
G01_JET01_existing,Fz_S1R,present,present,
G01_JET01_existing,Fz_S2L,present,present,
G01_JET01_existing,Fz_S2R,present,present,
G01_JET01_existing,Fz_S3L,present,present,
G01_JET01_existing,Fz_S3R,present,present,
G01_JET01_existing,Fz_Total,present,present,
G01_JET01_existing,Drag_Total,present,present,
G01_JET01_existing,Pitch_Moment,present,present,
G01_JET01_existing,Roll_Moment,present,present,
G01_JET01_existing,Jet_Reaction_Z,present,present,
G01_JET01_existing,JET_01,present,present,
G01_JET01_existing,JET_02,present,present,
G01_JET01_existing,JET_03,present,present,
G01_JET01_existing,JET_04,present,present,
G01_JET01_existing,JET_05,present,present,
G01_JET01_existing,JET_06,present,present,
G01_JET01_existing,JET_07,present,present,
G01_JET01_existing,JET_08,present,present,
G01_JET01_existing,JET_09,present,present,
G01_JET01_existing,JET_10,present,present,
G01_JET01_existing,JET_11,present,present,
G01_JET01_existing,JET_12,present,present,
G01_JET01_existing,JET_13,present,present,
G01_JET01_existing,JET_14,present,present,
G01_JET01_existing,JET_15,present,present,
G01_JET01_existing,JET_16,present,present,
G01_JET01_existing,JET_17,present,present,
G01_JET01_existing,JET_18,present,present,
G01_JET01_existing,JET_19,present,present,
G01_JET01_existing,JET_20,present,present,
G01_JET01_existing,JET_21,present,present,
G01_JET01_existing,JET_22,present,present,
G01_JET01_existing,JET_23,present,present,
G01_JET01_existing,JET_24,present,present,
G01_JET01_existing,cmd_massflow_01,present,present,
G01_JET01_existing,cmd_massflow_02,present,present,
G01_JET01_existing,cmd_massflow_03,present,present,
G01_JET01_existing,cmd_massflow_04,present,present,
G01_JET01_existing,cmd_massflow_05,present,present,
G01_JET01_existing,cmd_massflow_06,present,present,
G01_JET01_existing,cmd_massflow_07,present,present,
G01_JET01_existing,cmd_massflow_08,present,present,
G01_JET01_existing,cmd_massflow_09,present,present,
G01_JET01_existing,cmd_massflow_10,present,present,
G01_JET01_existing,cmd_massflow_11,present,present,
G01_JET01_existing,cmd_massflow_12,present,present,
G01_JET01_existing,cmd_massflow_13,present,present,
G01_JET01_existing,cmd_massflow_14,present,present,
G01_JET01_existing,cmd_massflow_15,present,present,
G01_JET01_existing,cmd_massflow_16,present,present,
G01_JET01_existing,cmd_massflow_17,present,present,
G01_JET01_existing,cmd_massflow_18,present,present,
G01_JET01_existing,cmd_massflow_19,present,present,
G01_JET01_existing,cmd_massflow_20,present,present,
G01_JET01_existing,cmd_massflow_21,present,present,
G01_JET01_existing,cmd_massflow_22,present,present,
G01_JET01_existing,cmd_massflow_23,present,present,
G01_JET01_existing,cmd_massflow_24,present,present,
G01_JET01_existing,actual_massflow_01,missing,column_absent,Missing required column: actual_massflow_01
G01_JET01_existing,actual_massflow_02,missing,column_absent,Missing required column: actual_massflow_02
G01_JET01_existing,actual_massflow_03,missing,column_absent,Missing required column: actual_massflow_03
G01_JET01_existing,actual_massflow_04,missing,column_absent,Missing required column: actual_massflow_04
G01_JET01_existing,actual_massflow_05,missing,column_absent,Missing required column: actual_massflow_05
G01_JET01_existing,actual_massflow_06,missing,column_absent,Missing required column: actual_massflow_06
G01_JET01_existing,actual_massflow_07,missing,column_absent,Missing required column: actual_massflow_07
G01_JET01_existing,actual_massflow_08,missing,column_absent,Missing required column: actual_massflow_08
G01_JET01_existing,actual_massflow_09,missing,column_absent,Missing required column: actual_massflow_09
G01_JET01_existing,actual_massflow_10,missing,column_absent,Missing required column: actual_massflow_10
G01_JET01_existing,actual_massflow_11,missing,column_absent,Missing required column: actual_massflow_11
G01_JET01_existing,actual_massflow_12,missing,column_absent,Missing required column: actual_massflow_12
G01_JET01_existing,actual_massflow_13,missing,column_absent,Missing required column: actual_massflow_13
G01_JET01_existing,actual_massflow_14,missing,column_absent,Missing required column: actual_massflow_14
G01_JET01_existing,actual_massflow_15,missing,column_absent,Missing required column: actual_massflow_15
G01_JET01_existing,actual_massflow_16,missing,column_absent,Missing required column: actual_massflow_16
G01_JET01_existing,actual_massflow_17,missing,column_absent,Missing required column: actual_massflow_17
G01_JET01_existing,actual_massflow_18,missing,column_absent,Missing required column: actual_massflow_18
G01_JET01_existing,actual_massflow_19,missing,column_absent,Missing required column: actual_massflow_19
G01_JET01_existing,actual_massflow_20,missing,column_absent,Missing required column: actual_massflow_20
G01_JET01_existing,actual_massflow_21,missing,column_absent,Missing required column: actual_massflow_21
G01_JET01_existing,actual_massflow_22,missing,column_absent,Missing required column: actual_massflow_22
G01_JET01_existing,actual_massflow_23,missing,column_absent,Missing required column: actual_massflow_23
G01_JET01_existing,actual_massflow_24,missing,column_absent,Missing required column: actual_massflow_24
G01_JET01_existing,S1 Monitor: S1 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/Excel兼容_UTF8_BOM/报告绘图_image_30000.csv but has no standard B03 mapping.
G01_JET01_existing,S2 Monitor: S2 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/Excel兼容_UTF8_BOM/报告绘图_image_30000.csv but has no standard B03 mapping.
G01_JET01_existing,S3 Monitor: S3 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/Excel兼容_UTF8_BOM/报告绘图_image_30000.csv but has no standard B03 mapping.
G01_JET01_existing,入口 Monitor: 入口 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/Excel兼容_UTF8_BOM/报告绘图_image_30000.csv but has no standard B03 mapping.
G01_JET01_existing,出口 Monitor: 出口 Monitor (Pa),not_mapped_to_standard_schema,column_name_unmapped,Raw column exists in out_put/Excel兼容_UTF8_BOM/报告绘图_image_30000.csv but has no standard B03 mapping.
