"时间","S1L Monitor: S1L Monitor (N)","S1R Monitor: S1R Monitor (N)","S2L Monitor: S2L Monitor (N)","S2R Monitor: S2R Monitor (N)","S3L Monitor: S3L Monitor (N)","S3R Monitor: S3R Monitor (N)"
1.0E-4,212.5302008506029,-23.933531466064746,69.63412503335633,69.70284209585188,30.678380661146367,31.022928646539246
2.0E-4,392.19724152065703,-2.2668070538260823,175.64569833146734,174.3015428482063,63.50017050499616,62.366593751655806
3.0000000000000003E-4,515.1347978883225,0.9370878718799694,251.02905649306504,243.73809508145413,110.37496509532463,108.24154981567855
4.0E-4,559.5837732385567,-22.69140739125905,268.0282145767679,256.65849656655996,177.1342240684896,172.85847223636551
5.0E-4,560.4262449510937,-38.52122305815965,239.3662779658925,229.87899664305544,230.72266686010477,227.62022870228887
6.000000000000001E-4,582.2675471345135,-7.769370813168172,185.31984234707068,179.73955212048642,224.89136955005975,227.17027167042258
7.000000000000001E-4,669.7515710676947,77.27931933924276,121.15648232390255,121.62200342035781,147.8598768757832,154.61804605215943
8.000000000000001E-4,844.5889692881724,211.78702883572024,61.39569454425104,66.43138259082893,2.015799347049586,12.097428434961573
9.000000000000002E-4,1115.4085523503556,392.32964355913236,32.388395280037784,40.81680986219347,-186.23662010414947,-172.6796084287335
0.0010000000000000002,1486.8402100508852,626.3884150628592,56.41326706355839,65.87919474951825,-389.02007097295404,-376.13962933402354
0.0011000000000000003,1959.6572908505786,915.0000214853408,137.79450847245525,145.37068123478315,-587.218358183943,-577.7905211762189
0.0012000000000000003,2510.7456403381366,1242.400324505318,263.7731399850467,267.7673119841195,-765.5348079909569,-762.1731048618794
0.0013000000000000004,3090.9938895256264,1589.1690023110348,406.20160933231324,407.1223109741219,-916.0797878981962,-920.2316413878818
0.0014000000000000004,3637.9075248249496,1934.2408919370723,534.4479978800866,534.7261774955614,-1039.6346308293068,-1048.4803312038086
0.0015000000000000005,4099.280987097459,2260.9581770427744,627.4479791901853,628.4477562051588,-1139.5234694542899,-1149.4070085034716
0.0016000000000000005,4458.234001856498,2559.2888919773554,673.2353189509623,676.0438949566137,-1225.450922749947,-1232.0287411116515
0.0017000000000000006,4734.360029578722,2826.739231244333,664.7942512399253,668.3928543715868,-1315.592496383856,-1315.2852632109789
0.0018000000000000006,4966.277708142701,3064.1938912428527,598.0397296326416,600.044154346599,-1431.796678845203,-1425.2403908217455
0.0019000000000000006,5193.582317900316,3277.476971100371,474.54336025164156,471.6264976672366,-1593.5552241961932,-1584.4877503590858
0.0020000000000000005,5447.984043763329,3478.2306298224166,308.29023590358395,296.77608160525364,-1810.2722785572782,-1804.2423923692227
0.0021000000000000003,5750.0275601532585,3683.49326397116,128.95761210564217,106.91741469089573,-2076.10695000129,-2080.5352774567236
0.0022,6112.042442264781,3914.583713168856,-21.56596252387534,-55.04569088816295,-2372.8201420380415,-2393.295752168377
0.0023,6535.850870925846,4189.83672622655,-103.05881122470855,-145.60591034318318,-2674.7719014530558,-2713.0785577183815
0.0024,7014.4329587966895,4521.187386831451,-87.92823370705075,-134.71962363150934,-2956.4303359675973,-3010.195421378067
0.0024999999999999996,7531.477898488753,4910.195018406605,29.98216062658477,-15.466209676920606,-3198.8216846520886,-3263.8326337547014
0.0025999999999999994,8065.274588428301,5348.982591674392,230.24446649498418,192.57801195123386,-3395.11380093823,-3464.6423226667184
0.0026999999999999993,8594.386338143304,5822.7509923034295,472.4725720860618,447.5246042142011,-3549.5813449632083,-3616.5437956294063
0.002799999999999999,9102.064596621789,6313.7676061936145,706.8250702878273,696.3378319356028,-3676.548407260846,-3734.853380921053
0.002899999999999999,9580.496713537797,6805.744311138988,884.7668436385197,888.2704166564484,-3794.13669372418,-3840.9659293320797
0.0029999999999999988,10031.815265392017,7288.046088614405,971.8640360814139,987.5624099894427,-3918.134977549685,-3954.7103918388843
0.0030999999999999986,10469.108430688286,7758.538215844109,955.1667954904345,981.1372348841635,-4059.4787542168365,-4089.3307284353846
0.0031999999999999984,10910.753958945008,8223.063026745109,846.0187526246197,880.3455823440016,-4218.450655312559,-4247.1238765855505
0.0032999999999999982,11373.912691344663,8692.527210587998,676.8719112081811,716.9208894504029,-4387.112711633221,-4419.222050456587
0.003399999999999998,11871.69265515374,9181.15448636014,491.50630116281343,534.7491896902329,-4549.917307814323,-4589.040895266207
0.003499999999999998,12410.023675289614,9701.93032567609,334.0671761654208,379.5065658686656,-4688.7922966979,-4736.032703066697
0.0035999999999999977,12986.003714394279,10261.482990233715,241.4705047562327,288.77886844342635,-4787.4889854611365,-4841.080570227403
0.0036999999999999976,13588.437702580564,10857.80582572774,233.453432089231,283.3492848342542,-4835.908171351576,-4891.433367004888
0.0037999999999999974,14200.83956728193,11481.665383689979,310.56120658259596,363.6370070561428,-4831.855883833377,-4882.901956298063
